[2026-01-22 20:01:51,200: INFO: main: Starting point of our project]
[2026-01-22 21:05:56,158: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 21:05:56,162: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 21:05:56,164: INFO: common: created directory at: artifacts]
[2026-01-22 21:05:56,165: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 21:05:57,883: INFO: 227420655: File is downloaded]
[2026-01-22 21:23:03,531: INFO: main: stage Data Ingestion stage initiated]
[2026-01-22 21:23:03,533: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 21:23:03,534: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 21:23:03,534: INFO: common: created directory at: artifacts]
[2026-01-22 21:23:03,534: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 21:23:03,534: INFO: data_ingestion: File already exits]
[2026-01-22 21:23:03,607: INFO: main: Stage Data Ingestion stage Completed]
[2026-01-22 21:26:05,614: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 21:26:05,616: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 21:26:05,617: INFO: common: created directory at: artifacts]
[2026-01-22 21:26:05,617: INFO: common: created directory at: artifacts/data_transformation]
[2026-01-22 21:34:46,313: INFO: main: stage Data Ingestion stage initiated]
[2026-01-22 21:34:46,315: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 21:34:46,316: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 21:34:46,316: INFO: common: created directory at: artifacts]
[2026-01-22 21:34:46,316: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 21:34:46,316: INFO: data_ingestion: File already exits]
[2026-01-22 21:34:46,416: INFO: main: Stage Data Ingestion stage Completed]
[2026-01-22 21:34:46,416: INFO: main: stage Data Transformation stage initiated]
[2026-01-22 21:34:46,417: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 21:34:46,417: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 21:34:46,418: INFO: common: created directory at: artifacts]
[2026-01-22 21:34:46,418: INFO: common: created directory at: artifacts/data_transformation]
[2026-01-22 21:34:49,290: INFO: main: Stage Data Transformation stage Completed]
[2026-01-22 21:40:32,983: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 21:40:32,986: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 21:40:32,987: INFO: common: created directory at: artifacts]
[2026-01-22 21:40:32,988: INFO: common: created directory at: artifacts/model_trainer]
[2026-01-22 21:58:24,934: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 21:58:24,939: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 21:58:24,940: INFO: common: created directory at: artifacts]
[2026-01-22 21:58:24,940: INFO: common: created directory at: artifacts/model_trainer]
[2026-01-22 22:01:14,469: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 22:01:14,472: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 22:01:14,473: INFO: common: created directory at: artifacts]
[2026-01-22 22:01:14,473: INFO: common: created directory at: artifacts/model_trainer]
[2026-01-22 22:01:29,678: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 22:01:29,681: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 22:01:29,682: INFO: common: created directory at: artifacts]
[2026-01-22 22:01:29,683: INFO: common: created directory at: artifacts/model_trainer]
[2026-01-22 22:41:02,804: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 22:41:02,807: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 22:41:02,809: INFO: common: created directory at: artifacts]
[2026-01-22 22:41:02,810: INFO: common: created directory at: artifacts/model_evaluation]
[2026-01-22 22:43:27,671: INFO: rouge_scorer: Using default tokenizer.]
[2026-01-22 22:50:57,465: INFO: server: Started server process [42331]]
[2026-01-22 22:50:57,465: INFO: on: Waiting for application startup.]
[2026-01-22 22:50:57,465: INFO: on: Application startup complete.]
[2026-01-22 22:50:57,466: INFO: server: Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)]
[2026-01-22 22:51:20,704: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 22:51:20,707: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 22:51:20,707: INFO: common: created directory at: artifacts]
[2026-01-22 22:51:20,707: INFO: common: created directory at: artifacts/model_evaluation]
[2026-01-22 22:52:30,994: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-01-22 22:52:30,997: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 22:52:30,998: INFO: common: created directory at: artifacts]
[2026-01-22 22:52:30,998: INFO: common: created directory at: artifacts/model_evaluation]
